date_published,title,authors,summary,url,category
2023-11-02 17:58:09+00:00,Time Series Anomaly Detection using Diffusion-based Models,"['Ioana Pintilie', 'Andrei Manolache', 'Florin Brad']","Diffusion models have been recently used for anomaly detection (AD) in
images. In this paper we investigate whether they can also be leveraged for AD
on multivariate time series (MTS). We test two diffusion-based models and
compare them to several strong neural baselines. We also extend the PA%K
protocol, by computing a ROCK-AUC metric, which is agnostic to both the
detection threshold and the ratio K of correctly detected points. Our models
outperform the baselines on synthetic datasets and are competitive on
real-world datasets, illustrating the potential of diffusion-based methods for
AD in multivariate time series.",http://arxiv.org/pdf/2311.01452v1,cs.LG
2023-11-02 17:55:41+00:00,Deep Double Descent for Time Series Forecasting: Avoiding Undertrained Models,"['Valentino Assandri', 'Sam Heshmati', 'Burhaneddin Yaman', 'Anton Iakovlev', 'Ariel Emiliano Repetur']","Deep learning models, particularly Transformers, have achieved impressive
results in various domains, including time series forecasting. While existing
time series literature primarily focuses on model architecture modifications
and data augmentation techniques, this paper explores the training schema of
deep learning models for time series; how models are trained regardless of
their architecture. We perform extensive experiments to investigate the
occurrence of deep double descent in several Transformer models trained on
public time series data sets. We demonstrate epoch-wise deep double descent and
that overfitting can be reverted using more epochs. Leveraging these findings,
we achieve state-of-the-art results for long sequence time series forecasting
in nearly 70% of the 72 benchmarks tested. This suggests that many models in
the literature may possess untapped potential. Additionally, we introduce a
taxonomy for classifying training schema modifications, covering data
augmentation, model inputs, model targets, time series per model, and
computational budget.",http://arxiv.org/pdf/2311.01442v1,cs.LG
2023-11-02 17:26:49+00:00,Castor: Causal Temporal Regime Structure Learning,"['Abdellah Rahmani', 'Pascal Frossard']","The task of uncovering causal relationships among multivariate time series
data stands as an essential and challenging objective that cuts across a broad
array of disciplines ranging from climate science to healthcare. Such data
entails linear or non-linear relationships, and usually follow multiple a
priori unknown regimes. Existing causal discovery methods can infer summary
causal graphs from heterogeneous data with known regimes, but they fall short
in comprehensively learning both regimes and the corresponding causal graph. In
this paper, we introduce CASTOR, a novel framework designed to learn causal
relationships in heterogeneous time series data composed of various regimes,
each governed by a distinct causal graph. Through the maximization of a score
function via the EM algorithm, CASTOR infers the number of regimes and learns
linear or non-linear causal relationships in each regime. We demonstrate the
robust convergence properties of CASTOR, specifically highlighting its
proficiency in accurately identifying unique regimes. Empirical evidence,
garnered from exhaustive synthetic experiments and two real-world benchmarks,
confirm CASTOR's superior performance in causal discovery compared to baseline
methods. By learning a full temporal causal graph for each regime, CASTOR
establishes itself as a distinctly interpretable method for causal discovery in
heterogeneous time series.",http://arxiv.org/pdf/2311.01412v1,cs.LG
2023-11-01 13:44:45+00:00,Retrieval-Based Reconstruction For Time-series Contrastive Learning,"['Maxwell A. Xu', 'Alexander Moreno', 'Hui Wei', 'Benjamin M. Marlin', 'James M. Rehg']","The success of self-supervised contrastive learning hinges on identifying
positive data pairs that, when pushed together in embedding space, encode
useful information for subsequent downstream tasks. However, in time-series,
this is challenging because creating positive pairs via augmentations may break
the original semantic meaning. We hypothesize that if we can retrieve
information from one subsequence to successfully reconstruct another
subsequence, then they should form a positive pair. Harnessing this intuition,
we introduce our novel approach: REtrieval-BAsed Reconstruction (REBAR)
contrastive learning. First, we utilize a convolutional cross-attention
architecture to calculate the REBAR error between two different time-series.
Then, through validation experiments, we show that the REBAR error is a
predictor of mutual class membership, justifying its usage as a
positive/negative labeler. Finally, once integrated into a contrastive learning
framework, our REBAR method can learn an embedding that achieves
state-of-the-art performance on downstream tasks across various modalities.",http://arxiv.org/pdf/2311.00519v1,cs.LG
2023-11-01 01:23:59+00:00,WinNet:time series forecasting with a window-enhanced period extracting and interacting,"['Wenjie Ou', 'Dongyue Guo', 'Zheng Zhang', 'Zhishuo Zhao', 'Yi Lin']","Recently, Transformer-based methods have significantly improved
state-of-the-art time series forecasting results, but they suffer from high
computational costs and the inability to capture the long and short periodicity
of time series. We present a highly accurate and simply structured CNN-based
model for long-term time series forecasting tasks, called WinNet, including (i)
Inter-Intra Period Encoder (I2PE) to transform 1D sequence into 2D tensor with
long and short periodicity according to the predefined periodic window, (ii)
Two-Dimensional Period Decomposition (TDPD) to model period-trend and
oscillation terms, and (iii) Decomposition Correlation Block (DCB) to leverage
the correlations of the period-trend and oscillation terms to support the
prediction tasks by CNNs. Results on nine benchmark datasets show that the
WinNet can achieve SOTA performance and lower computational complexity over
CNN-, MLP-, Transformer-based approaches. The WinNet provides potential for the
CNN-based methods in the time series forecasting tasks, with perfect tradeoff
between performance and efficiency.",http://arxiv.org/pdf/2311.00214v1,cs.LG
2023-10-31 14:34:00+00:00,BasisFormer: Attention-based Time Series Forecasting with Learnable and Interpretable Basis,"['Zelin Ni', 'Hang Yu', 'Shizhan Liu', 'Jianguo Li', 'Weiyao Lin']","Bases have become an integral part of modern deep learning-based models for
time series forecasting due to their ability to act as feature extractors or
future references. To be effective, a basis must be tailored to the specific
set of time series data and exhibit distinct correlation with each time series
within the set. However, current state-of-the-art methods are limited in their
ability to satisfy both of these requirements simultaneously. To address this
challenge, we propose BasisFormer, an end-to-end time series forecasting
architecture that leverages learnable and interpretable bases. This
architecture comprises three components: First, we acquire bases through
adaptive self-supervised learning, which treats the historical and future
sections of the time series as two distinct views and employs contrastive
learning. Next, we design a Coef module that calculates the similarity
coefficients between the time series and bases in the historical view via
bidirectional cross-attention. Finally, we present a Forecast module that
selects and consolidates the bases in the future view based on the similarity
coefficients, resulting in accurate future predictions. Through extensive
experiments on six datasets, we demonstrate that BasisFormer outperforms
previous state-of-the-art methods by 11.04\% and 15.78\% respectively for
univariate and multivariate forecasting tasks. Code is available at:
\url{https://github.com/nzl5116190/Basisformer}",http://arxiv.org/pdf/2310.20496v1,cs.LG
2023-10-31 13:07:41+00:00,Raising the ClaSS of Streaming Time Series Segmentation,"['Arik Ermshaus', 'Patrick Schäfer', 'Ulf Leser']","Ubiquitous sensors today emit high frequency streams of numerical
measurements that reflect properties of human, animal, industrial, commercial,
and natural processes. Shifts in such processes, e.g. caused by external events
or internal state changes, manifest as changes in the recorded signals. The
task of streaming time series segmentation (STSS) is to partition the stream
into consecutive variable-sized segments that correspond to states of the
observed processes or entities. The partition operation itself must in
performance be able to cope with the input frequency of the signals. We
introduce ClaSS, a novel, efficient, and highly accurate algorithm for STSS.
ClaSS assesses the homogeneity of potential partitions using self-supervised
time series classification and applies statistical tests to detect significant
change points (CPs). In our experimental evaluation using two large benchmarks
and six real-world data archives, we found ClaSS to be significantly more
precise than eight state-of-the-art competitors. Its space and time complexity
is independent of segment sizes and linear only in the sliding window size. We
also provide ClaSS as a window operator with an average throughput of 538 data
points per second for the Apache Flink streaming engine.",http://arxiv.org/pdf/2310.20431v1,cs.LG
2023-10-31 08:50:52+00:00,AutoMixer for Improved Multivariate Time-Series Forecasting on Business and IT Observability Data,"['Santosh Palaskar', 'Vijay Ekambaram', 'Arindam Jati', 'Neelamadhav Gantayat', 'Avirup Saha', 'Seema Nagar', 'Nam H. Nguyen', 'Pankaj Dayama', 'Renuka Sindhgatta', 'Prateeti Mohapatra', 'Harshit Kumar', 'Jayant Kalagnanam', 'Nandyala Hemachandra', 'Narayan Rangaraj']","The efficiency of business processes relies on business key performance
indicators (Biz-KPIs), that can be negatively impacted by IT failures. Business
and IT Observability (BizITObs) data fuses both Biz-KPIs and IT event channels
together as multivariate time series data. Forecasting Biz-KPIs in advance can
enhance efficiency and revenue through proactive corrective measures. However,
BizITObs data generally exhibit both useful and noisy inter-channel
interactions between Biz-KPIs and IT events that need to be effectively
decoupled. This leads to suboptimal forecasting performance when existing
multivariate forecasting models are employed. To address this, we introduce
AutoMixer, a time-series Foundation Model (FM) approach, grounded on the novel
technique of channel-compressed pretrain and finetune workflows. AutoMixer
leverages an AutoEncoder for channel-compressed pretraining and integrates it
with the advanced TSMixer model for multivariate time series forecasting. This
fusion greatly enhances the potency of TSMixer for accurate forecasts and also
generalizes well across several downstream tasks. Through detailed experiments
and dashboard analytics, we show AutoMixer's capability to consistently improve
the Biz-KPI's forecasting accuracy (by 11-15\%) which directly translates to
actionable business insights.",http://arxiv.org/pdf/2310.20280v2,cs.LG
2023-10-31 06:37:51+00:00,A Systematic Review for Transformer-based Long-term Series Forecasting,"['Liyilei Su', 'Xumin Zuo', 'Rui Li', 'Xin Wang', 'Heng Zhao', 'Bingding Huang']","The emergence of deep learning has yielded noteworthy advancements in time
series forecasting (TSF). Transformer architectures, in particular, have
witnessed broad utilization and adoption in TSF tasks. Transformers have proven
to be the most successful solution to extract the semantic correlations among
the elements within a long sequence. Various variants have enabled transformer
architecture to effectively handle long-term time series forecasting (LTSF)
tasks. In this article, we first present a comprehensive overview of
transformer architectures and their subsequent enhancements developed to
address various LTSF tasks. Then, we summarize the publicly available LTSF
datasets and relevant evaluation metrics. Furthermore, we provide valuable
insights into the best practices and techniques for effectively training
transformers in the context of time-series analysis. Lastly, we propose
potential research directions in this rapidly evolving field.",http://arxiv.org/pdf/2310.20218v1,cs.LG
2023-10-31 03:16:32+00:00,Contrastive Difference Predictive Coding,"['Chongyi Zheng', 'Ruslan Salakhutdinov', 'Benjamin Eysenbach']","Predicting and reasoning about the future lie at the heart of many
time-series questions. For example, goal-conditioned reinforcement learning can
be viewed as learning representations to predict which states are likely to be
visited in the future. While prior methods have used contrastive predictive
coding to model time series data, learning representations that encode
long-term dependencies usually requires large amounts of data. In this paper,
we introduce a temporal difference version of contrastive predictive coding
that stitches together pieces of different time series data to decrease the
amount of data required to learn predictions of future events. We apply this
representation learning method to derive an off-policy algorithm for
goal-conditioned RL. Experiments demonstrate that, compared with prior RL
methods, ours achieves $2 \times$ median improvement in success rates and can
better cope with stochastic environments. In tabular settings, we show that our
method is about $20 \times$ more sample efficient than the successor
representation and $1500 \times$ more sample efficient than the standard (Monte
Carlo) version of contrastive predictive coding.",http://arxiv.org/pdf/2310.20141v1,cs.LG
